English,Spanish,Type,Category
Tourist,El turista,Noun,Vacation
Tourist office,La oficina de turismo,Noun,Vacation
Towards,Hacia,Preposition,Prepositions
Towels,Las toallas,Noun,House
Toy store,La juguetería,Noun,Vacation
Train station,La estación de tren,Noun,Vacation
Trees,Los árboles,Noun,Nature
T-Shirt,La camiseta,Noun,Clothes
Tuesday,Martes,Noun,Days
Turkey,El pavo,Noun,Nature
Twelve,Doce,Noun,Numbers
Twenty,Veinte,Noun,Numbers
Twin,El gemelo,Noun,Family
Two,Dos,Noun,Numbers
Uncle,El tío,Noun,Family
Under,Bajo,Preposition,Prepositions
Underwear,La ropa interior,Noun,Clothes
Unless,A menos que,Other,Transitions
Until,Hasta,Preposition,Prepositions
Vaccine,La vacuna,Noun,Health
Velvet,El terciopelo,Noun,Clothes
Vest,El chaleco,Noun,Clothes
Veterinarian,El veterinario,Noun,Professions
Video conference,La videoconferencia,Noun,Professions
Video games,Los videojuegos,Noun,Childhood
View,La vista,Noun,Nature
Wage,El sueldo,Noun,Professions
Waiter,El camarero,Noun,Food
Wall,La pared,Noun,House
Wallet,La cartera,Noun,Clothes
Watch,El reloj,Noun,Clothes
Wave,La ola,Noun,Nature
Weather,El tiempo,Noun,Weather
Wednesday,Miércoles,Noun,Days
Well,Bien,Adverb,Adverbs
What,Qué,Other,Questions
When,Cuando,Other,Questions
Where,Dónde,Other,Questions
While,Mientras,Other,Transitions
White,Blanco,Adjective,Colors
Who,Quien,Other,Questions
Why,Por qué,Other,Questions
Wife,La mujer,Noun,Family
Wild,Salvaje,Adjective,Nature
Wind,El viento,Noun,Weather
Window,La ventana,Noun,House
With,Con,Preposition,Prepositions
Without,Sin,Preposition,Prepositions
Witty,Ingenioso,Adjective,Adjectives
Wolf,El lobo,Noun,Nature
Wood,La madera,Noun,House
Wool,La lana,Noun,Clothes
Worst,Peor,Adjective,Nature
X-ray,"Los rayos X, La radiografía",Noun,Health
Yard,El jardín,Noun,House
Yellow,Amarillo,Adjective,Colors
Young,Joven,Adjective,Adjectives
Younger,Menor,Adjective,Family
Zipper,El cierre,Noun,Clothes
Zoo,El zoológico,Noun,Childhood
